"id","password","last_login","is_superuser","username","last_name","email","is_staff","is_active","date_joined","first_name"
1,"1qaz2wsx",,true,admin,Admin,admin@email.com,true,true,"2024-04-09",Super,
2,"1qaz2wsx",,false,coach,Coach,coach@email.com,true,true,"2024-04-09",Head,
3,"1qaz2wsx",,false,radamel_falcao,Falcao,player1@email.com,true,true,"2024-04-09",Radamel,
4,"1qaz2wsx",,false,robin_van, Van,player2@email.com,true,true,"2024-04-09",Robin,
5,"1qaz2wsx",,false,andrea_pirlo,Pirlo,player3@email.com,true,true,"2024-04-09",Andrea,
6,"1qaz2wsx",,false,yaya_toure,Toure,player4@email.com,true,true,"2024-04-09",Yaya,
7,"1qaz2wsx",,false,edinson_cavani,Cavani,player5@email.com,true,true,"2024-04-09",Edinson,,
8,"1qaz2wsx",,false,luis_suarez,Suarez,player6@email.com,true,true,"2024-04-09",Luis,
9,"1qaz2wsx",,false,sergio_aguero,Sergio,player7@email.com,true,true,"2024-04-09",Aguero,
10,"1qaz2wsx",,false,iker_casillas,Casillas,player8@email.com,true,true,"2024-04-09",Iker,
11,"1qaz2wsx",,false,sergio_busquest,Sergio,player9@email.com,true,true,"2024-04-09",Busquets,
12,"1qaz2wsx",,false,xabi_alonso,Xabi,player10@email.com,true,true,"2024-04-09",Alonso,
13,"1qaz2wsx",,false,thiago_silva,Thiago,player11@email.com,true,true,"2024-04-09",Silva,
14,"1qaz2wsx",,false,david_silva,David,player12@email.com,true,true,"2024-04-09",Silva,
15,"1qaz2wsx",,false,bastian_schwe,Bastian,player13@email.com,true,true,"2024-04-09",Schweinsteiger,
16,"1qaz2wsx",,false,gianluigi_buffon,Gianluigi,player14@email.com,true,true,"2024-04-09",Buffon,
17,"1qaz2wsx",,false,coach2,Coach2,coach2@email.com,true,true,"2024-04-09",UON,
